Date,Team,Agent,Calls_Handled,SLA_Percentage,AHT_Seconds,CSAT,Escalated_Cases,Resolution_Rate
2025-04-13,Team D,Chris,94,97.57,308,4.33,0,96.56
2025-06-01,Team C,Mary,100,93.7,325,4.84,0,99.08
2025-12-11,Team A,Rachel,81,92.51,246,4.85,4,91.95
2025-12-12,Team A,Mary,101,91.19,412,4.4,0,93.88
2025-07-25,Team A,Sarah,93,90.89,251,4.29,1,95.65
2025-07-21,Team B,Sarah,103,95.22,328,4.37,1,95.4
2025-02-22,Team D,Ryan,89,91.84,286,4.58,0,97.16
2025-06-12,Team C,John,98,95.1,328,4.6,2,96.48
2025-03-03,Team D,David,97,97.07,316,4.7,0,97.95
2025-08-06,Team C,Olivia,96,100,273,4.28,0,95.88
2025-03-04,Team D,Jason,124,89.92,280,4.53,2,96.27
2025-08-31,Team B,Mary,94,88.6,364,4.37,1,94.09
2025-11-27,Team D,Jason,81,94.38,252,4.09,1,99.89
2025-08-22,Team D,Chris,82,91.55,291,3.77,0,98.53
2025-02-21,Team D,Jason,56,92.92,323,5,0,96.96
2025-05-06,Team B,Sophia,81,98.9,223,4.17,1,96.34
2025-10-21,Team D,David,106,97.18,275,4.42,2,96.2
2025-12-12,Team C,Aaron,77,90.84,306,4.36,4,97.23
2025-10-25,Team C,Jason,100,94.58,388,5,1,93.12
2025-04-09,Team C,Amy,102,93.33,325,4.68,5,95.55
2025-04-09,Team A,Grace,87,89.35,372,4.8,2,98.32
2025-05-15,Team C,Michael,72,94.25,225,5,3,96.29
2025-09-21,Team C,Mary,104,88.97,362,4.52,1,98.96
2025-01-17,Team D,Olivia,90,92.33,355,4.54,3,95.85
2025-06-10,Team D,Alex,88,89.26,328,4.52,1,96.12
2025-09-30,Team D,John,67,94.26,283,3.86,1,96.94
2025-01-13,Team D,Jason,106,93.02,386,4.7,3,96.33
2025-12-08,Team C,Michael,72,90.32,303,4.87,1,96.26
2025-07-15,Team B,Ryan,79,89.13,281,4.53,0,95.79
2025-10-02,Team D,David,77,98.34,286,3.94,0,95.31
2025-03-30,Team D,Ryan,90,97.95,253,4.95,1,95.53
2025-08-06,Team B,Amy,113,91.35,374,5,0,95
2025-09-03,Team A,Sarah,83,91.6,322,5,2,96.4
2025-06-09,Team C,Nicole,75,87.31,384,4.22,5,100
2025-01-12,Team C,Olivia,77,93.62,364,4.26,0,94.82
2025-07-15,Team B,Grace,97,95.7,335,4.64,1,97.26
2025-07-11,Team C,Michael,75,94.15,344,3.94,2,98.29
2025-12-21,Team A,Michael,97,92.02,482,3.94,0,94.31
2025-04-10,Team D,Kevin,78,95.95,325,4.48,2,96.4
2025-02-22,Team C,Amy,72,90.9,319,3.77,2,99.54
2025-03-17,Team A,Rachel,86,93.25,307,4.76,1,92.84
2025-05-16,Team D,Ryan,86,96.46,296,4.2,0,98.72
2025-12-30,Team B,Jason,97,92.52,319,4.1,0,94.64
2025-11-13,Team C,Kevin,84,95.52,376,4.24,1,93.16
2025-04-27,Team B,Sophia,85,94.17,306,4.37,4,95.06
2025-05-23,Team C,John,76,96.6,410,4.37,2,97.95
2025-03-31,Team D,Grace,73,88.99,303,3.9,0,94.71
2025-08-08,Team D,Ryan,60,89.04,411,4.75,2,95.06
2025-03-04,Team A,Michael,83,96.71,240,4.22,0,96.52
2025-12-17,Team A,Emma,89,93.5,360,4.68,1,97.63
2025-01-01,Team C,Ryan,64,94.61,373,4.86,1,96.48
2025-04-28,Team C,Grace,115,93.51,377,4.71,1,96.33
2025-10-30,Team C,Chris,93,96.64,330,4.41,3,96.72
2025-12-01,Team D,Rachel,110,87.89,317,4.52,2,95.93
2025-08-28,Team C,Aaron,52,99.1,231,4.85,1,94.5
2025-12-18,Team C,Grace,110,88.9,345,4.25,1,98.09
2025-11-22,Team A,David,63,92.43,322,3.72,1,97.03
2025-08-27,Team D,Daniel,103,95.55,288,4.18,1,97.16
2025-08-02,Team B,Olivia,109,92.25,348,4.49,2,99.05
2025-01-15,Team D,David,48,93.78,255,3.93,2,96.41
2025-08-21,Team A,Grace,86,90.42,396,4.56,1,94.25
2025-10-09,Team D,Mary,64,92.97,238,4.55,0,95.61
2025-10-04,Team B,Emma,75,91.54,290,4.14,2,90.99
2025-02-05,Team D,Emma,95,94.17,315,4.47,1,96.55
2025-03-03,Team A,Mary,115,97.86,366,4.17,1,96.56
2025-04-23,Team D,Chris,43,95.96,358,4.4,3,94.25
2025-01-10,Team A,Rachel,75,95.28,375,4.63,2,97.15
2025-11-14,Team D,Sophia,81,95.05,312,4.6,1,95.62
2025-12-15,Team D,Daniel,76,94.76,304,4.3,3,95.46
2025-10-23,Team D,Jason,99,94.66,334,4.61,2,100
2025-11-05,Team D,Lisa,71,93.86,328,4.57,1,97.02
2025-08-19,Team C,Sarah,103,95.91,356,4.29,3,95.15
2025-06-08,Team C,Sarah,118,90.2,478,4.45,3,98.66
2025-10-09,Team C,David,114,89.47,285,3.9,2,94.79
2025-07-29,Team A,John,86,95.18,344,4.47,1,99.76
2025-02-20,Team A,Olivia,105,90.03,313,4.42,2,98.19
2025-05-17,Team B,Nicole,92,96.96,309,4.12,5,96.94
2025-06-29,Team B,John,62,96.24,227,4.09,2,97.03
2025-03-04,Team A,Lisa,123,93.18,320,4.39,2,100
2025-01-18,Team A,Olivia,68,93.7,410,3.94,2,100
2025-09-21,Team A,Jason,72,95.76,323,4.69,5,94.46
2025-09-12,Team A,Lisa,75,93.3,313,4.55,1,93.89
2025-04-06,Team D,Olivia,103,94.26,306,4.08,1,98.73
2025-03-26,Team C,Amy,96,93.98,257,4.68,2,95.63
2025-07-14,Team C,Sophia,77,96.05,288,4.78,4,96.57
2025-08-03,Team D,Michael,85,99.84,180,4.66,1,98.11
2025-10-05,Team C,Olivia,85,94.04,293,4.17,0,92.74
2025-01-17,Team A,Emma,93,91.59,346,4.89,1,99.14
2025-06-22,Team A,Olivia,79,93.6,248,4.57,1,98.68
2025-10-22,Team D,Alex,71,92.62,347,3.87,1,95.75
2025-09-01,Team C,Michael,123,92.71,377,4.19,0,96.36
2025-08-05,Team A,Daniel,79,90.17,435,4.7,4,94.81
2025-03-21,Team D,Aaron,97,94.86,384,4.72,2,96.86
2025-10-09,Team A,Jason,88,94.34,309,4.74,3,95.84
2025-06-08,Team D,Alex,72,100,323,4.7,2,96.35
2025-07-29,Team A,Amy,105,96.03,310,4.07,1,91.26
2025-09-26,Team A,Grace,77,97.23,434,4.29,4,94.25
2025-01-03,Team A,Olivia,96,95.36,297,4.6,2,99.23
2025-11-01,Team A,Sarah,99,92.36,317,4.6,1,96.33
2025-08-31,Team A,Olivia,92,91.09,293,4.21,2,94.89
2025-02-16,Team C,Michael,122,94.41,235,4.45,4,98.76
2025-03-30,Team A,Sarah,95,90.48,328,4.29,0,97.17
2025-05-17,Team C,Mary,89,94,352,5,0,92.5
2025-11-24,Team C,David,66,93.14,288,4.67,4,96.07
2025-08-04,Team C,Amy,98,94.27,340,4.61,5,95.26
2025-06-07,Team C,Grace,72,94.25,340,4.33,3,96.01
2025-08-11,Team B,Ryan,80,93.66,332,4.87,4,96.35
2025-08-30,Team D,Michael,91,95.26,368,4.19,0,95.92
2025-07-29,Team B,Olivia,76,94.13,398,4.38,2,93.54
2025-10-12,Team A,Daniel,82,96.37,385,4.33,3,93.71
2025-09-14,Team B,Emma,74,90.99,323,4.33,4,96.69
2025-03-20,Team C,Olivia,91,91.89,321,4.21,3,97.87
2025-08-10,Team B,Jason,90,90.73,252,4.31,1,92.82
2025-12-10,Team D,Daniel,93,98.89,300,4.5,7,95.86
2025-03-17,Team A,Olivia,84,89.52,395,4.66,1,96.42
2025-10-16,Team A,Ryan,54,88.84,264,4.68,0,97.11
2025-11-01,Team D,Daniel,110,97.15,243,4.66,5,97.3
2025-11-10,Team B,Alex,114,98.06,296,4.92,2,98.15
2025-08-26,Team D,Ryan,92,91.28,318,5,2,93.74
2025-02-04,Team A,Chris,93,92.23,236,4.52,2,97.29
2025-12-30,Team B,Nicole,131,94.04,449,4.52,0,99.14
2025-12-01,Team B,Sarah,61,88.1,291,4.64,1,96.36
2025-02-09,Team A,Chris,96,90.85,402,3.94,2,94.59
2025-02-10,Team B,Chris,82,97.63,410,4.19,2,96.55
2025-06-12,Team A,David,101,90.88,242,4.32,0,96.15
2025-09-23,Team D,Kevin,65,88.33,298,4.85,1,97.7
2025-05-01,Team C,David,92,86.54,355,4.69,3,95.36
2025-10-09,Team A,John,78,92.61,268,4.34,1,96.9
